registrationKey,userKey,flagshipKey,flagshipNameRaw,isPaid,status,paymentId,ratingId
REG_c0f0dc1221ae,USR_82f89d759f32,firefest_2_2021,firefest 2,TRUE,completed,,
REG_fa2f4fbcb248,USR_862794fbdcb2,firefest_2_2021,firefest 2,TRUE,completed,,
REG_fd41f1831790,USR_862794fbdcb2,summerfest_hunza_1_2021,Summefest Hunza 2021,TRUE,completed,,
REG_d439d3e006ee,USR_6bef1f6d3a09,firefest_2_2021,firefest 2,TRUE,completed,,
REG_e67858fc0733,USR_99bc0c1f0996,firefest_2_2021,firefest 2,TRUE,completed,,
REG_b60b46d231ca,USR_99bc0c1f0996,snowfest_1_2020,Snowfest1,TRUE,completed,,
REG_06ef0afa0b5a,USR_c804b2f58666,firefest_2_2021,firefest 2,TRUE,completed,,
REG_5c6059bedafb,USR_c804b2f58666,firefest_1_2020,firefest 2021,TRUE,completed,,
REG_c97a9db65eae,USR_c804b2f58666,rangfest_2_2023,Rangfest 2.0,TRUE,completed,,
REG_564e000935e9,USR_c804b2f58666,snowfest_2_2021,Snowfest 2.0,TRUE,completed,,
REG_eed5343ed3c8,USR_c804b2f58666,snowfest_3_2022,Snowfest 3.0,TRUE,completed,,
REG_1a90787f8bf3,USR_c804b2f58666,firefest_3_2022,Firefest 3,TRUE,completed,,
REG_8192179dc478,USR_298bd3b71aa8,firefest_2_2021,firefest 2,TRUE,completed,,
REG_6b63d34aa800,USR_9aea7282ddea,firefest_2_2021,firefest 2,TRUE,completed,,
REG_eab6f3091cf8,USR_9aea7282ddea,snowfest_3_2022,Snowfest 3.0,TRUE,completed,,
REG_5c6d35db296c,USR_397dd5cdae96,firefest_2_2021,firefest 2,TRUE,completed,,
REG_a9fd1b34df9b,USR_397dd5cdae96,firefest_1_2020,firefest 2021,TRUE,completed,,
REG_81dcbcbbc275,USR_397dd5cdae96,snowfest_3_2022,Snowfest 3.0,TRUE,completed,,
REG_aa5c8fcc7eef,USR_397dd5cdae96,firefest_3_2022,Firefest 3,TRUE,completed,,
REG_b095b458f545,USR_397dd5cdae96,spooktober_3_2024,Spooktoober 3,TRUE,completed,,
REG_b1619df50e1e,USR_ba1764b855bc,firefest_2_2021,firefest 2,TRUE,completed,,
REG_e5da6ab8c1b2,USR_ba1764b855bc,firefest_1_2020,firefest 2021,TRUE,completed,,
REG_234983647964,USR_ba1764b855bc,snowfest_2_2021,Snowfest 2.0,TRUE,completed,,
REG_133b0ac07aa4,USR_ba1764b855bc,firefest_3_2022,Firefest 3,TRUE,completed,,
REG_50c947c2aca6,USR_f6a8e8bc7b1a,firefest_2_2021,firefest 2,TRUE,completed,,
REG_93ee70ad8587,USR_d44ae28026c7,firefest_2_2021,firefest 2,TRUE,completed,,
REG_5402fd0943df,USR_4aaf7e263746,firefest_2_2021,firefest 2,TRUE,completed,,
REG_18e0ad01ae4a,USR_5006dd710035,firefest_2_2021,firefest 2,TRUE,completed,,
REG_00d618041851,USR_b009f552e276,firefest_2_2021,firefest 2,TRUE,completed,,
REG_a4a2796f6533,USR_b009f552e276,snowfest_2_2021,Snowfest 2.0,TRUE,completed,,
